number	accession	filename
1	ERR4588499	1_ERR4588499_db3.bracken.kraken2.report_bracken.txt
2	ERR4588500	2_ERR4588500_db3.bracken.kraken2.report_bracken.txt
3	ERR4588501	3_ERR4588501_db3.bracken.kraken2.report_bracken.txt
4	ERR4588505	4_ERR4588505_db3.bracken.kraken2.report_bracken.txt
5	ERR4588507	5_ERR4588507_db3.bracken.kraken2.report_bracken.txt
6	ERR4588511	6_ERR4588511_db3.bracken.kraken2.report_bracken.txt
7	ERR4588513	7_ERR4588513_db3.bracken.kraken2.report_bracken.txt
8	ERR4588514	8_ERR4588514_db3.bracken.kraken2.report_bracken.txt
9	ERR4588520	9_ERR4588520_db3.bracken.kraken2.report_bracken.txt
10	ERR4588521	10_ERR4588521_db3.bracken.kraken2.report_bracken.txt
11	ERR4588523	11_ERR4588523_db3.bracken.kraken2.report_bracken.txt
12	ERR4588524	12_ERR4588524_db3.bracken.kraken2.report_bracken.txt
13	ERR4588525	13_ERR4588525_db3.bracken.kraken2.report_bracken.txt
14	ERR4588527	14_ERR4588527_db3.bracken.kraken2.report_bracken.txt
15	ERR4588529	15_ERR4588529_db3.bracken.kraken2.report_bracken.txt
16	ERR4588531	16_ERR4588531_db3.bracken.kraken2.report_bracken.txt
17	ERR4588538	17_ERR4588538_db3.bracken.kraken2.report_bracken.txt
18	ERR4588539	18_ERR4588539_db3.bracken.kraken2.report_bracken.txt
19	ERR4588541	19_ERR4588541_db3.bracken.kraken2.report_bracken.txt
20	ERR4588542	20_ERR4588542_db3.bracken.kraken2.report_bracken.txt
21	ERR4588544	21_ERR4588544_db3.bracken.kraken2.report_bracken.txt
22	ERR4588546	22_ERR4588546_db3.bracken.kraken2.report_bracken.txt
23	ERR4588547	23_ERR4588547_db3.bracken.kraken2.report_bracken.txt
24	ERR4588549	24_ERR4588549_db3.bracken.kraken2.report_bracken.txt
25	ERR4588550	25_ERR4588550_db3.bracken.kraken2.report_bracken.txt
26	ERR4588557	26_ERR4588557_db3.bracken.kraken2.report_bracken.txt
27	ERR4588559	27_ERR4588559_db3.bracken.kraken2.report_bracken.txt
28	ERR4588560	28_ERR4588560_db3.bracken.kraken2.report_bracken.txt
29	ERR4588563	29_ERR4588563_db3.bracken.kraken2.report_bracken.txt
30	ERR4588567	30_ERR4588567_db3.bracken.kraken2.report_bracken.txt
31	ERR4588568	31_ERR4588568_db3.bracken.kraken2.report_bracken.txt
32	ERR4588571	32_ERR4588571_db3.bracken.kraken2.report_bracken.txt
33	ERR4588574	33_ERR4588574_db3.bracken.kraken2.report_bracken.txt
34	ERR4588576	34_ERR4588576_db3.bracken.kraken2.report_bracken.txt
35	ERR4588585	35_ERR4588585_db3.bracken.kraken2.report_bracken.txt
36	ERR4588586	36_ERR4588586_db3.bracken.kraken2.report_bracken.txt
37	ERR4588588	37_ERR4588588_db3.bracken.kraken2.report_bracken.txt
38	ERR4588590	38_ERR4588590_db3.bracken.kraken2.report_bracken.txt
39	ERR4588593	39_ERR4588593_db3.bracken.kraken2.report_bracken.txt
40	ERR4588599	40_ERR4588599_db3.bracken.kraken2.report_bracken.txt
41	ERR4588600	41_ERR4588600_db3.bracken.kraken2.report_bracken.txt
42	ERR4588601	42_ERR4588601_db3.bracken.kraken2.report_bracken.txt
43	ERR4588604	43_ERR4588604_db3.bracken.kraken2.report_bracken.txt
44	ERR4588609	44_ERR4588609_db3.bracken.kraken2.report_bracken.txt
45	ERR4588611	45_ERR4588611_db3.bracken.kraken2.report_bracken.txt
46	ERR4588612	46_ERR4588612_db3.bracken.kraken2.report_bracken.txt
47	ERR4588613	47_ERR4588613_db3.bracken.kraken2.report_bracken.txt
48	ERR4588616	48_ERR4588616_db3.bracken.kraken2.report_bracken.txt
49	ERR4588617	49_ERR4588617_db3.bracken.kraken2.report_bracken.txt
50	ERR4588623	50_ERR4588623_db3.bracken.kraken2.report_bracken.txt
51	ERR4588627	51_ERR4588627_db3.bracken.kraken2.report_bracken.txt
52	ERR4588630	52_ERR4588630_db3.bracken.kraken2.report_bracken.txt
53	ERR4588631	53_ERR4588631_db3.bracken.kraken2.report_bracken.txt
54	ERR4588633	54_ERR4588633_db3.bracken.kraken2.report_bracken.txt
55	ERR4588637	55_ERR4588637_db3.bracken.kraken2.report_bracken.txt
56	ERR4588640	56_ERR4588640_db3.bracken.kraken2.report_bracken.txt
57	ERR4588641	57_ERR4588641_db3.bracken.kraken2.report_bracken.txt
58	ERR4588644	58_ERR4588644_db3.bracken.kraken2.report_bracken.txt
59	ERR4588648	59_ERR4588648_db3.bracken.kraken2.report_bracken.txt
60	ERR4588649	60_ERR4588649_db3.bracken.kraken2.report_bracken.txt
61	ERR4588650	61_ERR4588650_db3.bracken.kraken2.report_bracken.txt
62	ERR4588657	62_ERR4588657_db3.bracken.kraken2.report_bracken.txt
63	ERR4588661	63_ERR4588661_db3.bracken.kraken2.report_bracken.txt
64	ERR4588664	64_ERR4588664_db3.bracken.kraken2.report_bracken.txt
65	ERR4588665	65_ERR4588665_db3.bracken.kraken2.report_bracken.txt
66	ERR4588666	66_ERR4588666_db3.bracken.kraken2.report_bracken.txt
67	ERR4588669	67_ERR4588669_db3.bracken.kraken2.report_bracken.txt
68	ERR4588672	68_ERR4588672_db3.bracken.kraken2.report_bracken.txt
69	ERR4588674	69_ERR4588674_db3.bracken.kraken2.report_bracken.txt
70	ERR4588678	70_ERR4588678_db3.bracken.kraken2.report_bracken.txt
71	ERR4588679	71_ERR4588679_db3.bracken.kraken2.report_bracken.txt
72	ERR4588680	72_ERR4588680_db3.bracken.kraken2.report_bracken.txt
73	ERR4588682	73_ERR4588682_db3.bracken.kraken2.report_bracken.txt
74	ERR4588683	74_ERR4588683_db3.bracken.kraken2.report_bracken.txt
75	ERR4588690	75_ERR4588690_db3.bracken.kraken2.report_bracken.txt
76	ERR4588693	76_ERR4588693_db3.bracken.kraken2.report_bracken.txt
77	ERR4588694	77_ERR4588694_db3.bracken.kraken2.report_bracken.txt
78	ERR4588697	78_ERR4588697_db3.bracken.kraken2.report_bracken.txt
79	ERR4588703	79_ERR4588703_db3.bracken.kraken2.report_bracken.txt
80	ERR4588706	80_ERR4588706_db3.bracken.kraken2.report_bracken.txt
81	ERR4588710	81_ERR4588710_db3.bracken.kraken2.report_bracken.txt
82	ERR4588711	82_ERR4588711_db3.bracken.kraken2.report_bracken.txt
83	ERR4588715	83_ERR4588715_db3.bracken.kraken2.report_bracken.txt
84	ERR4588716	84_ERR4588716_db3.bracken.kraken2.report_bracken.txt
85	ERR4588717	85_ERR4588717_db3.bracken.kraken2.report_bracken.txt
86	ERR4588721	86_ERR4588721_db3.bracken.kraken2.report_bracken.txt
87	ERR4588726	87_ERR4588726_db3.bracken.kraken2.report_bracken.txt
88	ERR4588730	88_ERR4588730_db3.bracken.kraken2.report_bracken.txt
89	ERR4588735	89_ERR4588735_db3.bracken.kraken2.report_bracken.txt
90	ERR4588739	90_ERR4588739_db3.bracken.kraken2.report_bracken.txt
91	ERR4588741	91_ERR4588741_db3.bracken.kraken2.report_bracken.txt
92	ERR4588743	92_ERR4588743_db3.bracken.kraken2.report_bracken.txt
93	ERR4588745	93_ERR4588745_db3.bracken.kraken2.report_bracken.txt
166	ERR4588494	166_ERR4588494_db3.bracken.kraken2.report_bracken.txt
167	ERR4588495	167_ERR4588495_db3.bracken.kraken2.report_bracken.txt
168	ERR4588496	168_ERR4588496_db3.bracken.kraken2.report_bracken.txt
169	ERR4588502	169_ERR4588502_db3.bracken.kraken2.report_bracken.txt
170	ERR4588504	170_ERR4588504_db3.bracken.kraken2.report_bracken.txt
171	ERR4588506	171_ERR4588506_db3.bracken.kraken2.report_bracken.txt
172	ERR4588509	172_ERR4588509_db3.bracken.kraken2.report_bracken.txt
173	ERR4588510	173_ERR4588510_db3.bracken.kraken2.report_bracken.txt
174	ERR4588517	174_ERR4588517_db3.bracken.kraken2.report_bracken.txt
175	ERR4588519	175_ERR4588519_db3.bracken.kraken2.report_bracken.txt
176	ERR4588528	176_ERR4588528_db3.bracken.kraken2.report_bracken.txt
177	ERR4588530	177_ERR4588530_db3.bracken.kraken2.report_bracken.txt
178	ERR4588532	178_ERR4588532_db3.bracken.kraken2.report_bracken.txt
179	ERR4588535	179_ERR4588535_db3.bracken.kraken2.report_bracken.txt
180	ERR4588537	180_ERR4588537_db3.bracken.kraken2.report_bracken.txt
181	ERR4588543	181_ERR4588543_db3.bracken.kraken2.report_bracken.txt
182	ERR4588556	182_ERR4588556_db3.bracken.kraken2.report_bracken.txt
183	ERR4588562	183_ERR4588562_db3.bracken.kraken2.report_bracken.txt
184	ERR4588564	184_ERR4588564_db3.bracken.kraken2.report_bracken.txt
185	ERR4588566	185_ERR4588566_db3.bracken.kraken2.report_bracken.txt
186	ERR4588570	186_ERR4588570_db3.bracken.kraken2.report_bracken.txt
187	ERR4588572	187_ERR4588572_db3.bracken.kraken2.report_bracken.txt
188	ERR4588573	188_ERR4588573_db3.bracken.kraken2.report_bracken.txt
189	ERR4588575	189_ERR4588575_db3.bracken.kraken2.report_bracken.txt
190	ERR4588577	190_ERR4588577_db3.bracken.kraken2.report_bracken.txt
191	ERR4588582	191_ERR4588582_db3.bracken.kraken2.report_bracken.txt
192	ERR4588583	192_ERR4588583_db3.bracken.kraken2.report_bracken.txt
193	ERR4588584	193_ERR4588584_db3.bracken.kraken2.report_bracken.txt
194	ERR4588589	194_ERR4588589_db3.bracken.kraken2.report_bracken.txt
195	ERR4588591	195_ERR4588591_db3.bracken.kraken2.report_bracken.txt
196	ERR4588592	196_ERR4588592_db3.bracken.kraken2.report_bracken.txt
197	ERR4588596	197_ERR4588596_db3.bracken.kraken2.report_bracken.txt
198	ERR4588602	198_ERR4588602_db3.bracken.kraken2.report_bracken.txt
199	ERR4588603	199_ERR4588603_db3.bracken.kraken2.report_bracken.txt
200	ERR4588607	200_ERR4588607_db3.bracken.kraken2.report_bracken.txt
201	ERR4588610	201_ERR4588610_db3.bracken.kraken2.report_bracken.txt
202	ERR4588615	202_ERR4588615_db3.bracken.kraken2.report_bracken.txt
203	ERR4588620	203_ERR4588620_db3.bracken.kraken2.report_bracken.txt
204	ERR4588622	204_ERR4588622_db3.bracken.kraken2.report_bracken.txt
205	ERR4588624	205_ERR4588624_db3.bracken.kraken2.report_bracken.txt
206	ERR4588629	206_ERR4588629_db3.bracken.kraken2.report_bracken.txt
207	ERR4588632	207_ERR4588632_db3.bracken.kraken2.report_bracken.txt
208	ERR4588634	208_ERR4588634_db3.bracken.kraken2.report_bracken.txt
209	ERR4588635	209_ERR4588635_db3.bracken.kraken2.report_bracken.txt
210	ERR4588639	210_ERR4588639_db3.bracken.kraken2.report_bracken.txt
211	ERR4588642	211_ERR4588642_db3.bracken.kraken2.report_bracken.txt
212	ERR4588647	212_ERR4588647_db3.bracken.kraken2.report_bracken.txt
213	ERR4588652	213_ERR4588652_db3.bracken.kraken2.report_bracken.txt
214	ERR4588658	214_ERR4588658_db3.bracken.kraken2.report_bracken.txt
215	ERR4588659	215_ERR4588659_db3.bracken.kraken2.report_bracken.txt
216	ERR4588660	216_ERR4588660_db3.bracken.kraken2.report_bracken.txt
217	ERR4588663	217_ERR4588663_db3.bracken.kraken2.report_bracken.txt
218	ERR4588670	218_ERR4588670_db3.bracken.kraken2.report_bracken.txt
219	ERR4588673	219_ERR4588673_db3.bracken.kraken2.report_bracken.txt
220	ERR4588675	220_ERR4588675_db3.bracken.kraken2.report_bracken.txt
221	ERR4588676	221_ERR4588676_db3.bracken.kraken2.report_bracken.txt
222	ERR4588677	222_ERR4588677_db3.bracken.kraken2.report_bracken.txt
223	ERR4588681	223_ERR4588681_db3.bracken.kraken2.report_bracken.txt
224	ERR4588685	224_ERR4588685_db3.bracken.kraken2.report_bracken.txt
225	ERR4588686	225_ERR4588686_db3.bracken.kraken2.report_bracken.txt
226	ERR4588687	226_ERR4588687_db3.bracken.kraken2.report_bracken.txt
227	ERR4588691	227_ERR4588691_db3.bracken.kraken2.report_bracken.txt
228	ERR4588692	228_ERR4588692_db3.bracken.kraken2.report_bracken.txt
229	ERR4588695	229_ERR4588695_db3.bracken.kraken2.report_bracken.txt
230	ERR4588698	230_ERR4588698_db3.bracken.kraken2.report_bracken.txt
231	ERR4588699	231_ERR4588699_db3.bracken.kraken2.report_bracken.txt
232	ERR4588702	232_ERR4588702_db3.bracken.kraken2.report_bracken.txt
233	ERR4588704	233_ERR4588704_db3.bracken.kraken2.report_bracken.txt
234	ERR4588707	234_ERR4588707_db3.bracken.kraken2.report_bracken.txt
235	ERR4588708	235_ERR4588708_db3.bracken.kraken2.report_bracken.txt
236	ERR4588709	236_ERR4588709_db3.bracken.kraken2.report_bracken.txt
237	ERR4588712	237_ERR4588712_db3.bracken.kraken2.report_bracken.txt
238	ERR4588713	238_ERR4588713_db3.bracken.kraken2.report_bracken.txt
239	ERR4588719	239_ERR4588719_db3.bracken.kraken2.report_bracken.txt
240	ERR4588723	240_ERR4588723_db3.bracken.kraken2.report_bracken.txt
241	ERR4588724	241_ERR4588724_db3.bracken.kraken2.report_bracken.txt
242	ERR4588725	242_ERR4588725_db3.bracken.kraken2.report_bracken.txt
243	ERR4588732	243_ERR4588732_db3.bracken.kraken2.report_bracken.txt
244	ERR4588734	244_ERR4588734_db3.bracken.kraken2.report_bracken.txt
245	ERR4588738	245_ERR4588738_db3.bracken.kraken2.report_bracken.txt
246	ERR4588744	246_ERR4588744_db3.bracken.kraken2.report_bracken.txt
333	ERR4588497	333_ERR4588497_db3.bracken.kraken2.report_bracken.txt
334	ERR4588498	334_ERR4588498_db3.bracken.kraken2.report_bracken.txt
335	ERR4588503	335_ERR4588503_db3.bracken.kraken2.report_bracken.txt
336	ERR4588508	336_ERR4588508_db3.bracken.kraken2.report_bracken.txt
337	ERR4588512	337_ERR4588512_db3.bracken.kraken2.report_bracken.txt
338	ERR4588515	338_ERR4588515_db3.bracken.kraken2.report_bracken.txt
339	ERR4588516	339_ERR4588516_db3.bracken.kraken2.report_bracken.txt
340	ERR4588518	340_ERR4588518_db3.bracken.kraken2.report_bracken.txt
341	ERR4588522	341_ERR4588522_db3.bracken.kraken2.report_bracken.txt
342	ERR4588526	342_ERR4588526_db3.bracken.kraken2.report_bracken.txt
343	ERR4588533	343_ERR4588533_db3.bracken.kraken2.report_bracken.txt
344	ERR4588534	344_ERR4588534_db3.bracken.kraken2.report_bracken.txt
345	ERR4588536	345_ERR4588536_db3.bracken.kraken2.report_bracken.txt
346	ERR4588540	346_ERR4588540_db3.bracken.kraken2.report_bracken.txt
347	ERR4588545	347_ERR4588545_db3.bracken.kraken2.report_bracken.txt
348	ERR4588548	348_ERR4588548_db3.bracken.kraken2.report_bracken.txt
349	ERR4588551	349_ERR4588551_db3.bracken.kraken2.report_bracken.txt
350	ERR4588552	350_ERR4588552_db3.bracken.kraken2.report_bracken.txt
351	ERR4588553	351_ERR4588553_db3.bracken.kraken2.report_bracken.txt
352	ERR4588554	352_ERR4588554_db3.bracken.kraken2.report_bracken.txt
353	ERR4588555	353_ERR4588555_db3.bracken.kraken2.report_bracken.txt
354	ERR4588558	354_ERR4588558_db3.bracken.kraken2.report_bracken.txt
355	ERR4588561	355_ERR4588561_db3.bracken.kraken2.report_bracken.txt
356	ERR4588565	356_ERR4588565_db3.bracken.kraken2.report_bracken.txt
357	ERR4588569	357_ERR4588569_db3.bracken.kraken2.report_bracken.txt
358	ERR4588578	358_ERR4588578_db3.bracken.kraken2.report_bracken.txt
359	ERR4588579	359_ERR4588579_db3.bracken.kraken2.report_bracken.txt
360	ERR4588580	360_ERR4588580_db3.bracken.kraken2.report_bracken.txt
361	ERR4588581	361_ERR4588581_db3.bracken.kraken2.report_bracken.txt
362	ERR4588587	362_ERR4588587_db3.bracken.kraken2.report_bracken.txt
363	ERR4588594	363_ERR4588594_db3.bracken.kraken2.report_bracken.txt
364	ERR4588595	364_ERR4588595_db3.bracken.kraken2.report_bracken.txt
365	ERR4588597	365_ERR4588597_db3.bracken.kraken2.report_bracken.txt
366	ERR4588598	366_ERR4588598_db3.bracken.kraken2.report_bracken.txt
367	ERR4588605	367_ERR4588605_db3.bracken.kraken2.report_bracken.txt
368	ERR4588606	368_ERR4588606_db3.bracken.kraken2.report_bracken.txt
369	ERR4588608	369_ERR4588608_db3.bracken.kraken2.report_bracken.txt
370	ERR4588614	370_ERR4588614_db3.bracken.kraken2.report_bracken.txt
371	ERR4588618	371_ERR4588618_db3.bracken.kraken2.report_bracken.txt
372	ERR4588619	372_ERR4588619_db3.bracken.kraken2.report_bracken.txt
373	ERR4588621	373_ERR4588621_db3.bracken.kraken2.report_bracken.txt
374	ERR4588625	374_ERR4588625_db3.bracken.kraken2.report_bracken.txt
375	ERR4588626	375_ERR4588626_db3.bracken.kraken2.report_bracken.txt
376	ERR4588628	376_ERR4588628_db3.bracken.kraken2.report_bracken.txt
377	ERR4588636	377_ERR4588636_db3.bracken.kraken2.report_bracken.txt
378	ERR4588638	378_ERR4588638_db3.bracken.kraken2.report_bracken.txt
379	ERR4588643	379_ERR4588643_db3.bracken.kraken2.report_bracken.txt
380	ERR4588645	380_ERR4588645_db3.bracken.kraken2.report_bracken.txt
381	ERR4588646	381_ERR4588646_db3.bracken.kraken2.report_bracken.txt
382	ERR4588651	382_ERR4588651_db3.bracken.kraken2.report_bracken.txt
383	ERR4588653	383_ERR4588653_db3.bracken.kraken2.report_bracken.txt
384	ERR4588654	384_ERR4588654_db3.bracken.kraken2.report_bracken.txt
385	ERR4588655	385_ERR4588655_db3.bracken.kraken2.report_bracken.txt
386	ERR4588656	386_ERR4588656_db3.bracken.kraken2.report_bracken.txt
387	ERR4588662	387_ERR4588662_db3.bracken.kraken2.report_bracken.txt
388	ERR4588667	388_ERR4588667_db3.bracken.kraken2.report_bracken.txt
389	ERR4588668	389_ERR4588668_db3.bracken.kraken2.report_bracken.txt
390	ERR4588671	390_ERR4588671_db3.bracken.kraken2.report_bracken.txt
391	ERR4588684	391_ERR4588684_db3.bracken.kraken2.report_bracken.txt
392	ERR4588688	392_ERR4588688_db3.bracken.kraken2.report_bracken.txt
393	ERR4588689	393_ERR4588689_db3.bracken.kraken2.report_bracken.txt
394	ERR4588696	394_ERR4588696_db3.bracken.kraken2.report_bracken.txt
395	ERR4588700	395_ERR4588700_db3.bracken.kraken2.report_bracken.txt
396	ERR4588701	396_ERR4588701_db3.bracken.kraken2.report_bracken.txt
397	ERR4588705	397_ERR4588705_db3.bracken.kraken2.report_bracken.txt
398	ERR4588714	398_ERR4588714_db3.bracken.kraken2.report_bracken.txt
399	ERR4588718	399_ERR4588718_db3.bracken.kraken2.report_bracken.txt
400	ERR4588720	400_ERR4588720_db3.bracken.kraken2.report_bracken.txt
401	ERR4588722	401_ERR4588722_db3.bracken.kraken2.report_bracken.txt
402	ERR4588727	402_ERR4588727_db3.bracken.kraken2.report_bracken.txt
403	ERR4588728	403_ERR4588728_db3.bracken.kraken2.report_bracken.txt
404	ERR4588729	404_ERR4588729_db3.bracken.kraken2.report_bracken.txt
405	ERR4588731	405_ERR4588731_db3.bracken.kraken2.report_bracken.txt
406	ERR4588733	406_ERR4588733_db3.bracken.kraken2.report_bracken.txt
407	ERR4588736	407_ERR4588736_db3.bracken.kraken2.report_bracken.txt
408	ERR4588737	408_ERR4588737_db3.bracken.kraken2.report_bracken.txt
409	ERR4588740	409_ERR4588740_db3.bracken.kraken2.report_bracken.txt
410	ERR4588742	410_ERR4588742_db3.bracken.kraken2.report_bracken.txt
411	ERR15663930	1_ERR15663930_db3.report_bracken.txt
412	ERR15663931	2_ERR15663931_db3.report_bracken.txt
413	ERR15663932	3_ERR15663932_db3.report_bracken.txt
414	ERR15663933	4_ERR15663933_db3.report_bracken.txt
415	ERR15663934	5_ERR15663934_db3.report_bracken.txt
416	ERR15663935	6_ERR15663935_db3.report_bracken.txt
417	ERR15663936	7_ERR15663936_db3.report_bracken.txt
418	ERR15663937	8_ERR15663937_db3.report_bracken.txt
419	ERR15663938	9_ERR15663938_db3.report_bracken.txt
420	ERR15663939	10_ERR15663939_db3.report_bracken.txt
421	ERR15663940	11_ERR15663940_db3.report_bracken.txt
422	ERR15663941	12_ERR15663941_db3.report_bracken.txt
423	ERR15663942	13_ERR15663942_db3.report_bracken.txt
424	ERR15663943	14_ERR15663943_db3.report_bracken.txt
425	ERR15663944	15_ERR15663944_db3.report_bracken.txt
426	ERR15663945	16_ERR15663945_db3.report_bracken.txt
427	ERR15663946	17_ERR15663946_db3.report_bracken.txt
428	ERR15663947	18_ERR15663947_db3.report_bracken.txt
429	ERR15663948	19_ERR15663948_db3.report_bracken.txt
430	ERR15663949	20_ERR15663949_db3.report_bracken.txt
431	ERR15663950	21_ERR15663950_db3.report_bracken.txt
432	ERR15663951	22_ERR15663951_db3.report_bracken.txt
433	ERR15663952	23_ERR15663952_db3.report_bracken.txt
434	ERR15663953	24_ERR15663953_db3.report_bracken.txt
435	ERR15663954	25_ERR15663954_db3.report_bracken.txt
436	ERR15663955	26_ERR15663955_db3.report_bracken.txt
437	ERR15663956	27_ERR15663956_db3.report_bracken.txt
438	ERR15663957	28_ERR15663957_db3.report_bracken.txt
439	ERR15663958	29_ERR15663958_db3.report_bracken.txt
440	ERR15663959	30_ERR15663959_db3.report_bracken.txt
441	ERR15663960	31_ERR15663960_db3.report_bracken.txt
442	ERR15663961	32_ERR15663961_db3.report_bracken.txt
443	ERR15663962	33_ERR15663962_db3.report_bracken.txt
444	ERR15663963	34_ERR15663963_db3.report_bracken.txt
445	ERR15663964	35_ERR15663964_db3.report_bracken.txt
446	ERR15663965	36_ERR15663965_db3.report_bracken.txt
447	ERR15663966	37_ERR15663966_db3.report_bracken.txt
448	ERR15663967	38_ERR15663967_db3.report_bracken.txt
449	ERR15663968	39_ERR15663968_db3.report_bracken.txt
450	ERR15663969	40_ERR15663969_db3.report_bracken.txt
451	ERR15663970	41_ERR15663970_db3.report_bracken.txt
452	ERR15663971	42_ERR15663971_db3.report_bracken.txt
453	ERR15663972	43_ERR15663972_db3.report_bracken.txt
454	ERR15663973	44_ERR15663973_db3.report_bracken.txt
455	ERR15663974	45_ERR15663974_db3.report_bracken.txt
456	ERR15663975	46_ERR15663975_db3.report_bracken.txt
457	ERR15663976	47_ERR15663976_db3.report_bracken.txt
